icao,name,city,country,tz,lat,lon
DAAG,Algiers Houari Boumediene Airport,Algiers,Algeria,Africa/Algiers,36.69101,3.215408
DAOO,Oran Es Senia Airport,Oran,Algeria,Africa/Algiers,35.623852,-0.62118
GBYD,Banjul International Airport,Banjul,Gambia,Africa/Banjul,13.33796,-16.652201
HECA,Cairo International Airport,Cairo,Egypt,Africa/Cairo,30.121941,31.40555
HELX,Luxor International Airport,Luxor,Egypt,Africa/Cairo,25.671021,32.706581
GMFF,Fes Saiss Airport,Fes,Morocco,Africa/Casablanca,33.927261,-4.97795
GMMN,Casablanca Mohammed V International Airport,Casablanca,Morocco,Africa/Casablanca,33.367458,-7.58996
GMMW,Nador International Airport,Nador,Morocco,Africa/Casablanca,34.988888,-3.028333
GMMX,Marrakesh Menara Airport,Marrakesh,Morocco,Africa/Casablanca,31.60688,-8.0363
GMTT,Tangier Ibn Battouta Airport,Tangier,Morocco,Africa/Casablanca,35.72691,-5.91688
GEML,Melilla Airport,Melilla,Spain,Africa/Ceuta,35.279812,-2.95625
GOBD,Dakar Blaise Diagne International Airport,Dakar,Senegal,Africa/Dakar,14.671111,-17.066944
DTTA,Tunis Carthage International Airport,Tunis,Tunisia,Africa/Tunis,36.851028,10.22721
SAEZ,Buenos Aires Ministro Pistarini International Airport,Buenos Aires,Argentina,America/Argentina/Buenos_Aires,-34.822201,-58.535801
SKBO,Bogota El Dorado International Airport,Bogota,Colombia,America/Bogota,4.703056,-74.138298
SKCG,Cartagena Rafael Nunez International Airport,Cartagena,Colombia,America/Bogota,10.4425,-75.512703
KORD,Chicago O'Hare International Airport,Chicago,United States,America/Chicago,41.978142,-87.9058
SPJC,Lima Jorge Chavez International Airport,Lima,Peru,America/Lima,-12.0218,-77.114304
KLAX,Los Angeles International Airport,Los Angeles,United States,America/Los_Angeles,33.94252,-118.406998
KOAK,Oakland International Airport,Oakland,United States,America/Los_Angeles,37.721272,-122.220001
KSFO,San Francisco International Airport,San Francisco,United States,America/Los_Angeles,37.618969,-122.374001
MMMX,Mexico City International Airport,Mexico City,Mexico,America/Mexico_City,19.4363,-99.071999
CYUL,Montreal Pierre Elliott Trudeau Airport,Montreal,Canada,America/Montreal,45.470551,-73.740799
KATL,Atlanta Hartsfield-Jackson International Airport,Atlanta,United States,America/New_York,33.636719,-84.428001
KBOS,Boston Logan International Airport,Boston,United States,America/New_York,42.362968,-71.006401
KEWR,New York Newark Liberty International Airport,New York,United States,America/New_York,40.692501,-74.168602
KFLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,America/New_York,26.07258,-80.152702
KIAD,Washington Dulles International Airport,Washington,United States,America/New_York,38.947441,-77.4599
KJFK,New York John F. Kennedy International Airport,New York,United States,America/New_York,40.639751,-73.7789
KMIA,Miami International Airport,Miami,United States,America/New_York,25.793249,-80.290497
KPHL,Philadelphia International Airport,Philadelphia,United States,America/New_York,39.871941,-75.241096
SCEL,Santiago International Airport,Santiago,Chile,America/Santiago,-33.392899,-70.785797
SBGR,Sao Paulo Guarulhos International Airport,Sao Paulo,Brazil,America/Sao_Paulo,-23.431999,-46.469501
CYYZ,Toronto Pearson International Airport,Toronto,Canada,America/Toronto,43.680634,-79.627007
OJAI,Amman Queen Alia International Airport,Amman,Jordan,Asia/Amman,31.722549,35.99321
OLBA,Beirut Rafic Hariri International Airport,Beirut,Lebanon,Asia/Beirut,33.82093,35.48838
OMAA,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,Asia/Dubai,24.43297,54.651131
OMDB,Dubai International Airport,Dubai,United Arab Emirates,Asia/Dubai,25.252769,55.364441
OMDW,Dubai World Central International Airport,Dubai,United Arab Emirates,Asia/Dubai,24.88611,55.172222
VHHH,Hong Kong International Airport,Hong Kong,Hong Kong,Asia/Hong_Kong,22.309616,113.916237
LLBG,Tel Aviv Ben Gurion International Airport,Tel Aviv,Israel,Asia/Jerusalem,32.011379,34.886662
OPIS,Islamabad International Airport,Islamabad,Pakistan,Asia/Karachi,33.549084,72.825653
OPST,Sialkot International Airport,Sialkot,Pakistan,Asia/Karachi,32.535557,74.363892
OTHH,Doha Hamad International Airport,Doha,Qatar,Asia/Qatar,25.273056,51.608055
RKSI,Seoul Incheon International Airport,Seoul,South Korea,Asia/Seoul,37.46907,126.4505
ZBAA,Beijing Capital International Airport,Beijing,China,Asia/Shanghai,40.084152,116.592735
ZSPD,Shanghai Pudong International Airport,Shanghai,China,Asia/Shanghai,31.14337,121.805199
WSSS,Singapore Changi Airport,Singapore,Singapore,Asia/Singapore,1.350189,103.9944
UGKO,Kutaisi International Airport,Kutaisi,Georgia,Asia/Tbilisi,42.169998,42.48
UGTB,Tbilisi International Airport,Tbilisi,Georgia,Asia/Tbilisi,41.669159,44.95472
OIIE,Tehran Imam Khomeini International Airport,Tehran,Iran,Asia/Tehran,35.416111,51.152222
USSS,Yekaterinburg Koltsovo Airport,Yekaterinburg,Russia,Asia/Yekaterinburg,56.743099,60.802719
GCFV,Fuerteventura Airport,Fuerteventura,Spain,Atlantic/Canary,28.452709,-13.8637
GCLA,La Palma Airport,La Palma,Spain,Atlantic/Canary,28.626471,-17.7556
GCLP,Gran Canaria Airport,Gran Canaria,Spain,Atlantic/Canary,27.931881,-15.3865
GCRR,Lanzarote Airport,Lanzarote,Spain,Atlantic/Canary,28.945459,-13.6052
GCTS,Tenerife South Airport,Tenerife,Spain,Atlantic/Canary,28.04447,-16.572399
GCXO,Tenerife North Airport,Tenerife,Spain,Atlantic/Canary,28.482651,-16.341499
EKVG,Vagar Airport,Vagar,Faroe Islands,Atlantic/Faroe,62.063622,-7.27721
BIKF,Keflavik International Airport,Reykjavik,Iceland,Atlantic/Reykjavik,63.985001,-22.605499
EHAM,Amsterdam Schiphol Airport,Amsterdam,Netherlands,Europe/Amsterdam,52.308609,4.763889
EHBK,Maastricht Aachen Airport,Maastricht,Netherlands,Europe/Amsterdam,50.911652,5.770144
EHEH,Eindhoven Airport,Eindhoven,Netherlands,Europe/Amsterdam,51.45013,5.374528
EHRD,Rotterdam The Hague Airport,Rotterdam,Netherlands,Europe/Amsterdam,51.95694,4.437222
LGAV,Athens Eleftherios Venizelos,Athens,Greece,Europe/Athens,37.936352,23.94446
LGSR,Santorini Thira National Airport,Santorini,Greece,Europe/Athens,36.399158,25.47933
LYBE,Belgrade Nikola Tesla Airport,Belgrade,Serbia,Europe/Belgrade,44.818439,20.30913
EDDB,Berlin Schonefeld Airport,Berlin,Germany,Europe/Berlin,52.380001,13.5225
EDDF,Frankfurt Airport,Frankfurt,Germany,Europe/Berlin,50.037796,8.555783
EDDH,Hamburg Airport,Hamburg,Germany,Europe/Berlin,53.630379,9.988228
EDDK,Cologne Bonn Airport,Cologne,Germany,Europe/Berlin,50.866001,7.143
